,lr,knn,ridge,rf,gb,adaboost,xgb,catboost,mpl
mae,0.00962511176413789,0.010511195125697927,0.009637707149690724,0.009689599964926986,0.010059776358574165,0.012725804024181147,0.011856035922301205,0.010743005207380892,0.01170080437608128
mase,0.7626079373968925,0.8328132733223117,0.7636058833150847,0.7677174067719335,0.7970468798159881,1.0082791136781264,0.939366453291197,0.8511798349365586,0.9270672912468889
zbmae,0.9883249663675778,1.0793097081526652,0.9896182847526456,0.9949467387103634,1.0329571619414528,1.306710004247493,1.2174005446689653,1.1031124126611571,1.201461071293849
smape,165.38622117964007,140.80121712014136,174.76139006375905,164.7201387195361,158.86821971156672,162.3776595815915,140.72592280944173,144.87694621418117,158.82027921023246
mda,54.13533834586466,25.31328320802005,57.89473684210527,60.150375939849624,57.14285714285714,41.35338345864661,59.64912280701754,53.63408521303258,51.127819548872175
dmda,58.5,54.0,58.0,58.75,55.0,44.0,59.0,53.0,46.0
