,lr,knn,ridge,rf,gb,adaboost,xgb,catboost,mpl
mae,0.009077164227110569,0.009955150795822576,0.009083836979553945,0.00926273340692266,0.009736177063978578,0.012298526441389037,0.011260566195972477,0.010577115610530709,0.034193460327908425
mase,0.7482559753844983,0.8206308581021611,0.7488060289874843,0.7635529606727987,0.8025802423806616,1.0138018513214568,0.9282398920561539,0.8719011532560491,2.8186623453407096
zbmae,0.9875013301404347,1.0830171633627812,0.9882272564042618,1.0076893323967122,1.0591950922785176,1.3379521308390938,1.2250328206518397,1.1506804849087813,3.7198938689536227
smape,167.69046488032228,142.05402184228296,173.33012274939296,173.4400544259728,166.5360535211885,152.42562624833113,148.8477649885465,152.06966590977976,153.95068936545096
mda,55.639097744360896,27.819548872180448,56.89223057644111,51.62907268170426,50.877192982456144,47.61904761904761,47.368421052631575,50.125313283208015,52.88220551378446
dmda,57.75,55.5,56.5,49.75,50.5,44.25,48.75,44.75,58.5
