,lr,knn,ridge,rf,gb,adaboost,xgb,catboost,mpl
mae,0.009169078936216088,0.009784139967781625,0.009116377168347414,0.009289879429804504,0.009623662421038449,0.012683354830934836,0.010878336618378406,0.010948111788692497,0.009726875709296125
mase,0.7346247564870781,0.783903322380305,0.7304023014666461,0.7443032676879568,0.7710458936769482,1.0161878329253293,0.8715701375081243,0.8771605100916093,0.7793153215311506
zbmae,1.001978793180242,1.0691914450100841,0.9962196483266684,1.0151796319584117,1.051654776415909,1.386011905381352,1.1887630886935527,1.196387981164389,1.0629337202147362
smape,165.62163040300942,142.15596512379048,172.50236732991556,165.54142181864077,156.67018918612268,161.553423287849,147.36946079810355,149.21078121753675,147.35717019842897
mda,53.383458646616546,25.062656641604008,58.1453634085213,51.8796992481203,46.8671679197995,44.11027568922306,52.130325814536334,50.37593984962406,45.614035087719294
dmda,50.25,54.25,50.75,53.5,55.0,43.75,52.25,49.5,50.5
