,lr,knn,ridge,rf,gb,adaboost,xgb,catboost,mpl
mae,0.012235091354213381,0.013790219603825529,0.011563867192849858,0.011424128793947745,0.014098184203050663,0.013642344441644232,0.015283175199156613,0.016250658855179338,0.012976307037425125
mase,0.7800115129974151,0.8791540452243827,0.7372196319637451,0.7283110299111795,0.8987874035734821,0.8697267082598695,0.9743329465532339,1.0360119621393888,0.8272654933545218
zbmae,1.0783827468087386,1.2154494367831539,1.0192220479712657,1.0069057134151838,1.2425929783242546,1.2024159400187069,1.34703632151877,1.4323088913974626,1.1437123942383296
smape,150.646369412169,153.5042334989701,176.67858915342023,172.98190175527674,153.01914064012806,151.80271409885913,150.5457095439342,148.174615215983,149.05524381654413
mda,46.365914786967416,23.55889724310777,48.1203007518797,48.87218045112782,46.11528822055138,44.11027568922306,49.122807017543856,50.6265664160401,42.35588972431078
dmda,50.25,48.5,47.75,49.5,48.25,49.5,48.75,51.75,49.5
