,lr,knn,ridge,rf,gb,adaboost,xgb,catboost,mpl
mae,0.008412795891684434,0.008849470264348527,0.00835437047003511,0.00845495456339378,0.008493090982960748,0.009715220777194906,0.009399796860667433,0.009014662342259932,0.01168933863441028
mase,0.7487417403167367,0.787605910320363,0.7435418576085762,0.7524938766613614,0.7558880311759437,0.8646580050121452,0.8365851674871385,0.8023080623152996,1.040355176206184
zbmae,1.0125196850878364,1.0650755064804376,1.0054879098859715,1.0175936801725218,1.0221835782310842,1.169272666130811,1.131309909308522,1.0849571525894546,1.406867066000861
smape,172.22122991354857,146.4496752184292,177.21331643570534,169.78663909654355,158.83509429576586,166.99465127331845,139.83921404788782,144.44002787234817,141.78281457907926
mda,52.88220551378446,28.57142857142857,55.13784461152882,49.122807017543856,51.37844611528822,38.095238095238095,52.38095238095239,55.388471177944865,50.37593984962406
dmda,50.0,51.0,49.75,56.0,55.25,49.0,56.5,54.5,54.0
